City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,91.18,21,92,11.03,overcast clouds
80,Victoria,HK,22.2855,114.1577,87.33,73,0,5.93,clear sky
81,Port Hedland,AU,-20.3167,118.5667,71.56,63,0,10.74,clear sky
82,Aksu,CN,41.1231,80.2644,84.7,22,0,5.75,clear sky
83,Dikson,RU,73.5069,80.5464,42.48,89,100,24.74,light rain
84,Sierpc,PL,52.8568,19.6691,92.95,27,12,8.23,few clouds
85,Linjiang,CN,41.8069,126.9078,65.26,98,100,1.83,overcast clouds
86,Sagae,JP,38.3725,140.2725,71.17,90,98,0.54,light rain
87,Ketchikan,US,55.3422,-131.6461,54.07,94,100,8.05,light rain
88,Geraldton,AU,-28.7667,114.6,63.28,60,65,15.61,broken clouds
89,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,4.61,overcast clouds
90,Kodiak,US,57.79,-152.4072,51.31,93,75,4.61,broken clouds
91,Broome,US,42.2506,-75.833,89.69,56,0,16.11,clear sky
92,Avera,US,33.194,-82.5271,83.71,67,100,10.63,overcast clouds
93,Baykit,RU,61.67,96.37,58.39,79,80,3.04,broken clouds
94,Blairmore,CA,49.6,-114.4353,72.52,45,4,6.08,clear sky
95,Castro,BR,-24.7911,-50.0119,72.77,52,5,7.9,clear sky
96,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,100,100,9.22,drizzle
97,Playas,EC,-2.6333,-80.3833,69.91,78,99,9.89,overcast clouds
98,Lebu,CL,-37.6167,-73.65,52.27,83,89,2.01,overcast clouds
99,Faya,SA,18.3851,42.4509,75.31,64,99,5.84,light rain
100,Qaanaaq,GL,77.484,-69.3632,46.11,69,100,5.37,overcast clouds
101,Benavente,ES,42.0025,-5.6783,96.8,10,0,10.94,clear sky
102,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,65,20,10.36,few clouds
103,Butaritari,KI,3.0707,172.7902,79.86,76,80,4.23,broken clouds
104,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,75,14.97,light intensity shower rain
105,Torbay,CA,47.6666,-52.7314,73.27,73,75,24.16,broken clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,56.08,59,93,14.0,overcast clouds
107,Owando,CG,-0.4819,15.8999,83.5,56,99,2.01,overcast clouds
108,Chagoda,RU,59.164,35.3285,70.45,59,31,1.74,scattered clouds
109,Kungurtug,RU,50.5994,97.5228,50.77,80,29,2.77,scattered clouds
110,Tongliao,CN,43.6125,122.2653,70.66,75,99,6.31,overcast clouds
111,North Bend,US,43.4065,-124.2243,59.23,96,100,5.75,mist
112,Wundanyi,KE,-3.4019,38.364,62.73,60,81,13.89,broken clouds
113,Wuwei,CN,37.9281,102.6414,55.94,70,51,4.23,broken clouds
114,Aksarka,RU,66.5606,67.7975,52.77,57,9,11.9,clear sky
115,Nemuro,JP,43.3236,145.575,56.61,90,0,8.79,clear sky
116,Asilah,MA,35.465,-6.0348,85.96,36,91,18.97,overcast clouds
117,Klaksvik,FO,62.2266,-6.589,52.72,82,29,11.45,scattered clouds
118,Marsabit,KE,2.3284,37.9899,72.3,39,13,19.46,few clouds
119,Sibu,MY,2.3,111.8167,79.11,88,40,2.3,scattered clouds
120,Port-Cartier,CA,50.0334,-66.8654,71.82,62,97,11.16,moderate rain
121,Hammerfest,NO,70.6634,23.6821,63.05,82,75,6.91,light rain
122,Port Elizabeth,ZA,-33.918,25.5701,61.09,74,0,8.05,clear sky
123,Hithadhoo,MV,-0.6,73.0833,81.54,71,100,5.08,overcast clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,94.6,45,0,14.97,clear sky
125,Houma,US,29.5958,-90.7195,91.99,71,40,10.36,scattered clouds
126,Borba,BR,-4.3878,-59.5939,78.91,79,99,0.43,overcast clouds
127,Mahebourg,MU,-20.4081,57.7,70.25,83,75,14.97,light intensity shower rain
128,Ewo,CG,-0.8725,14.8206,86.67,46,94,3.22,overcast clouds
129,College,US,64.8569,-147.8028,55.8,75,75,0.0,broken clouds
