City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Casas Grandes,MX,81.91,broken clouds,30.3667,-107.95,Pueblo del Soul B&B
233,Sao Filipe,CV,75.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
237,Puerto Narino,CO,84.38,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
239,Lengshuitan,CN,80.29,overcast clouds,26.4111,111.5956,Jialong Hotel
242,Neyshabur,IR,89.26,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
244,Bosobolo,CD,79.88,light rain,4.1833,19.9,
246,North Platte,US,80.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
250,La Romana,DO,86.36,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
251,Nagato,JP,76.1,broken clouds,34.3833,131.2,いそう庵
252,Marion,US,84.7,clear sky,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
253,Sahuaripa,MX,82.35,clear sky,29.05,-109.2333,Estatua de Sahuaripa
254,Ambon,ID,78.24,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
257,Asfi,MA,81.28,clear sky,32.2994,-9.2372,Hôtel Abda
260,Manadhoo,MV,81.97,overcast clouds,5.7667,73.3833,Bon Abri maldives
263,Lohja,FI,82.67,broken clouds,60.2486,24.0653,Koivulan Kartano
268,Luena,AO,80.78,scattered clouds,-11.7833,19.9167,Hotel Kandamba
269,Ca Mau,VN,75.81,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
271,Kebomas,ID,80.17,scattered clouds,-7.1667,112.6333,SPOT ON 2479 Berkah Residence Syariah
273,Puerto Escondido,MX,86.32,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
274,Bandarbeyla,SO,76.39,overcast clouds,9.4942,50.8122,JABIR HOTEL
277,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
278,Tura,IN,75.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
279,Phuntsholing,BT,79.23,overcast clouds,26.8516,89.3884,Hotel White House
284,Mulhouse,FR,86.61,clear sky,47.6667,7.4167,Auberge Saint-Laurent - HOTEL RESTAURANT
286,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
287,Saquarema,BR,77.14,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
289,Caravelas,BR,78.19,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
290,Axim,GH,78.51,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
292,Mafinga,TZ,75.18,scattered clouds,-7.25,35.0667,
293,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
294,Kirakira,SB,79.27,scattered clouds,-10.4544,161.9205,SanBiz Lodge
295,Havre,FR,77.34,broken clouds,49.5833,0.3333,gite bois jourdain
297,Tam Ky,VN,78.12,broken clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
298,Ibotirama,BR,88.3,clear sky,-12.1853,-43.2206,Serra do Rio Hotel
299,Aguililla,MX,77.11,few clouds,18.7333,-102.7333,
301,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
304,Gogrial,SS,77.56,overcast clouds,8.5332,28.1004,
305,Iralaya,HN,84.22,clear sky,15.0,-83.2333,Iglesia morava renovada
308,Eyl,SO,77.59,overcast clouds,7.9803,49.8164,Amiin Hotel
310,Vung Tau,VN,78.19,overcast clouds,10.346,107.0843,Seaside Resort
312,Faanui,PF,76.71,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
313,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
316,Sarandi,BR,76.55,clear sky,-23.4436,-51.8739,HOTEL GRALHA AZUL (GAPH) - Maringá
318,Bocas Del Toro,PA,80.38,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
320,Kieta,PG,79.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
321,Makakilo City,US,75.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
322,Zhuhai,CN,85.78,few clouds,22.2769,113.5678,珠海粤财假日酒店
324,Dangriga,BZ,82.35,few clouds,16.9692,-88.2321,Chaleanor Hotel
330,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
331,Acarau,BR,87.91,broken clouds,-2.8856,-40.12,castelo pizzaria
332,Saint-Augustin,CA,75.45,scattered clouds,51.226,-58.6502,
334,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
335,Sur,OM,89.33,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
338,Wanning,CN,80.38,broken clouds,18.8003,110.3967,Paradise Hotel
339,Nanhai,CN,80.38,overcast clouds,30.1282,111.7784,Jingnan Hotel
340,Ahuimanu,US,76.19,light rain,21.4447,-157.8378,Paradise Bay Resort
342,Dronninglund,DK,75.78,overcast clouds,57.1604,10.2929,Dronninglund Hotel
348,Jalingo,NG,81.18,light rain,8.8833,11.3667,Debright Motel
349,Trinidad,BO,85.98,clear sky,-14.8333,-64.9,Hotel Piesta
351,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
354,Cockburn Town,TC,82.53,clear sky,21.4612,-71.1419,Osprey Beach Hotel
355,Muktsar,IN,78.3,broken clouds,30.4833,74.5167,STARiHOTEL Muktsar Sahib
