City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kodiak,US,2022-07-20 02:37:02,57.79,-152.4072,56.71,72,100,5.75
68,Jumla,NP,2022-07-20 02:41:42,29.2747,82.1838,65.62,92,100,1.59
69,Tuatapere,NZ,2022-07-20 02:38:16,-46.1333,167.6833,44.58,79,95,3.04
70,Xingtai,CN,2022-07-20 02:41:43,37.0631,114.4942,80.2,59,45,9.04
71,Mataura,NZ,2022-07-20 02:39:16,-46.1927,168.8643,46.47,72,93,3.38
72,Upernavik,GL,2022-07-20 02:37:44,72.7868,-56.1549,45.1,77,84,4.16
73,Anadyr,RU,2022-07-20 02:41:43,64.75,177.4833,44.01,93,100,13.8
74,Mbaiki,CF,2022-07-20 02:41:44,3.8678,17.9892,67.57,99,100,1.79
75,Constitucion,CL,2022-07-20 02:41:44,-35.3333,-72.4167,47.03,59,0,7.83
76,Jardim,BR,2022-07-20 02:38:53,-21.4803,-56.1381,77.05,50,97,3.04
77,Kysyl-Syr,RU,2022-07-20 02:41:45,63.8986,122.7617,64.9,60,100,9.78
78,Vargem Alta,BR,2022-07-20 02:41:45,-20.6714,-41.0069,59.07,92,3,3.38
79,Tatawin,TN,2022-07-20 02:41:45,32.9297,10.4518,73.98,65,0,4.45
80,East London,ZA,2022-07-20 02:41:46,-33.0153,27.9116,63.1,83,96,15.43
81,Zaoyang,CN,2022-07-20 02:41:46,32.1272,112.7542,75.65,78,100,5.48
82,Svetlogorsk,BY,2022-07-20 02:41:46,52.6333,29.7333,56.37,96,32,6.85
83,Kaitangata,NZ,2022-07-20 02:41:46,-46.2817,169.8464,44.74,77,100,5.64
84,Marystown,CA,2022-07-20 02:41:47,47.1666,-55.1483,65.86,100,100,5.99
85,Saint-Augustin,CA,2022-07-20 02:41:47,51.226,-58.6502,53.91,94,100,21.7
86,Moron,AR,2022-07-20 02:41:47,-34.6534,-58.6198,53.96,91,2,6.22
87,New Norfolk,AU,2022-07-20 02:40:15,-42.7826,147.0587,49.91,53,4,1.25
88,Vaini,TO,2022-07-20 02:41:48,-21.2,-175.2,78.96,83,20,11.5
89,Hilo,US,2022-07-20 02:39:26,19.7297,-155.09,82.27,74,40,11.5
90,Halifax,CA,2022-07-20 02:40:35,44.6453,-63.5724,71.49,88,0,10.36
91,Denpasar,ID,2022-07-20 02:41:48,-8.65,115.2167,80.26,78,20,9.22
92,Dormidontovka,RU,2022-07-20 02:41:49,47.7702,134.9076,72.64,74,100,6.98
93,Klaksvik,FO,2022-07-20 02:36:58,62.2266,-6.589,50.92,97,88,9.4
94,Andros,GR,2022-07-20 02:41:49,37.8333,24.9333,72.16,70,3,13.0
95,Georgetown,MY,2022-07-20 02:42:49,5.4112,100.3354,87.73,82,20,5.99
96,Lompoc,US,2022-07-20 02:38:47,34.6391,-120.4579,85.78,80,2,5.99
97,Chaumont,FR,2022-07-20 02:42:50,48.1167,5.1333,66.11,83,35,10.33
98,Ahipara,NZ,2022-07-20 02:42:50,-35.1667,173.1667,57.47,82,75,9.86
99,Nanortalik,GL,2022-07-20 02:42:50,60.1432,-45.2371,46.87,94,99,9.51
100,Hamilton,US,2022-07-20 02:42:51,39.1834,-84.5333,79.84,78,0,5.75
101,Mathbaria,BD,2022-07-20 02:42:51,22.2876,89.9593,86.95,69,100,8.95
102,Tasiilaq,GL,2022-07-20 02:42:50,65.6145,-37.6368,37.56,89,73,5.32
103,Brownwood,US,2022-07-20 02:41:47,31.7093,-98.9912,99.72,34,20,20.94
104,Arraial Do Cabo,BR,2022-07-20 02:42:52,-22.9661,-42.0278,69.04,91,0,11.56
105,Jodhpur,IN,2022-07-20 02:42:13,26.2867,73.03,83.39,79,100,15.03
106,Carnarvon,AU,2022-07-20 02:42:52,-24.8667,113.6333,73.29,40,78,12.39
